por,C0,u0,k_r,D_eff,X_1d,X_3d,X_7d,X_14d,X_21d,X_30d,X_45d,X_60d
0.46618,0.20271,7.0276e-05,9.8717e-07,6.28e-10,0.0011697609427572253,0.0035574819883376074,0.00833001506598674,0.01667500875011041,0.025011973277999977,0.03571896292518573,0.0535374245878566,0.07131482622705276
0.43451,0.41357,3.6323e-05,6.7392e-07,5.73e-10,0.0012444922804345504,0.0038154335293606456,0.008955753772768249,0.01794761328044947,0.026935219241986275,0.038484399050471296,0.05771873058050758,0.07693079098444133
0.2862,0.52668,8.6393e-05,5.9287e-07,4.26e-10,0.0031443987529565787,0.009572887641931871,0.022355441334808934,0.04453835382364746,0.06652018220475531,0.09449243595131118,0.14044716029340543,0.18538377211666324
0.31573,0.27978,1.8382e-05,8.3901e-07,7.21e-10,0.0004336331722993858,0.001324117089103738,0.0031048697707065642,0.006220709295493787,0.009336046940872644,0.013340813050198297,0.02001421512922774,0.026686221422701828
0.44146,0.23477,8.1584e-05,5.2431e-07,6.32e-10,0.0012881511663930256,0.003930039363345683,0.0092020616280446,0.018399221320293146,0.027562056194407103,0.03928565773100012,0.05869810672894393,0.07795874952537662
0.31012,0.82009,6.4089e-05,9.0292e-08,2.91e-10,0.0012904665194213294,0.003978863291605794,0.00932839585890588,0.018628887037531294,0.027858180464633064,0.03961818952836682,0.058959804998895304,0.0780078901675082
0.30403,0.8779,7.5009e-05,9.9251e-07,8.48e-10,0.005369354664396475,0.01631154163735049,0.03811510982716382,0.07607144078465577,0.11378427363985699,0.1619618115789183,0.241152238386378,0.3185497250169934
0.36692,0.73727,9.2062e-05,4.8281e-08,3.87e-10,0.0006983895906840232,0.0021368868398806695,0.005005781872079229,0.010006916268067378,0.014985213544881026,0.021348595284787275,0.03187281478138626,0.04229101392901791
0.4819,0.28262,3.8245e-05,7.8533e-07,6.43e-10,0.0009028865940986508,0.002760220797205948,0.006474272249287871,0.012972436093031003,0.01946902121076144,0.027819420814411022,0.04173121154302539,0.05563576391068481
0.48709,0.70129,5.8291e-05,4.0948e-07,5.5e-10,0.002816834399112511,0.008644701572001035,0.020241041884065725,0.04038554724994692,0.06036971357548848,0.0858326949149617,0.12774178956613547,0.16884330359103972
